yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
Q9UKV3	Q9UKV3	ACINU_HUMAN	ACIN1 ACINUS KIAA0670	Homo sapiens (Human)
P08590	P08590	MYL3_HUMAN	MYL3	Homo sapiens (Human)
O43903	O43903	GAS2_HUMAN	GAS2	Homo sapiens (Human)
Q96BA7	Q96BA7	Q96BA7_HUMAN		Homo sapiens (Human)
P35367	P35367	HRH1_HUMAN	HRH1	Homo sapiens (Human)
P51790	P51790	CLCN3_HUMAN	CLCN3	Homo sapiens (Human)
Q04760	Q04760	LGUL_HUMAN	GLO1	Homo sapiens (Human)
P23677	P23677	IP3KA_HUMAN	ITPKA	Homo sapiens (Human)
P16615	P16615	AT2A2_HUMAN	ATP2A2 ATP2B	Homo sapiens (Human)
P48668	P48668	K2C6C_HUMAN	KRT6C KRT6E	Homo sapiens (Human)
Q96NW7	Q96NW7	LRRC7_HUMAN	LRRC7 KIAA1365 LAP1	Homo sapiens (Human)
P47870	P47870	GBRB2_HUMAN	GABRB2	Homo sapiens (Human)
P48058	P48058	GRIA4_HUMAN	GRIA4 GLUR4	Homo sapiens (Human)
P09960	P09960	LKHA4_HUMAN	LTA4H LTA4	Homo sapiens (Human)
Q9C0D5	Q9C0D5	TANC1_HUMAN	TANC1 KIAA1728	Homo sapiens (Human)
Q96S95	Q96S95	CK2N2_HUMAN	CAMK2N2	Homo sapiens (Human)
D3DX95	D3DX95	D3DX95_HUMAN	CHAT hCG_1996663	Homo sapiens (Human)
Q9NRY6	Q9NRY6	PLS3_HUMAN	PLSCR3	Homo sapiens (Human)
Q9NNX6	Q9NNX6	CD209_HUMAN	CD209 CLEC4L	Homo sapiens (Human)
Q16875	Q16875	F263_HUMAN	PFKFB3	Homo sapiens (Human)
Q9UHW9	Q9UHW9	S12A6_HUMAN	SLC12A6 KCC3	Homo sapiens (Human)
Q8N9I0	Q8N9I0	SYT2_HUMAN	SYT2	Homo sapiens (Human)
Q9UBZ4	Q9UBZ4	APEX2_HUMAN	APEX2 APE2 APEXL2 XTH2	Homo sapiens (Human)
Q14527	Q14527	HLTF_HUMAN	HLTF HIP116A RNF80 SMARCA3 SNF2L3 ZBU1	Homo sapiens (Human)
Q8WVB6	Q8WVB6	CTF18_HUMAN	CHTF18 C16orf41 CTF18	Homo sapiens (Human)
Q15004	Q15004	PAF15_HUMAN	PCLAF KIAA0101 NS5ATP9 PAF L5	Homo sapiens (Human)
Q9BXI6	Q9BXI6	TB10A_HUMAN	TBC1D10A EPI64 TBC1D10	Homo sapiens (Human)
P48764	P48764	SL9A3_HUMAN	SLC9A3 NHE3	Homo sapiens (Human)
Q9UMS4	Q9UMS4	PRP19_HUMAN	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)
Q7Z2E3	Q7Z2E3	APTX_HUMAN	APTX AXA1	Homo sapiens (Human)
Q03721	Q03721	KCNC4_HUMAN	KCNC4 C1orf30	Homo sapiens (Human)
Q96HC4	Q96HC4	PDLI5_HUMAN	PDLIM5 ENH L9	Homo sapiens (Human)
Q8TD31	Q8TD31	CCHCR_HUMAN	CCHCR1 C6orf18 HCR	Homo sapiens (Human)
Q8ND90	Q8ND90	PNMA1_HUMAN	PNMA1 MA1	Homo sapiens (Human)
P20073	P20073	ANXA7_HUMAN	ANXA7 ANX7 SNX OK/SW-cl.95	Homo sapiens (Human)
P48169	P48169	GBRA4_HUMAN	GABRA4	Homo sapiens (Human)
Q96JH7	Q96JH7	VCIP1_HUMAN	VCPIP1 KIAA1850 VCIP135	Homo sapiens (Human)
Q13227	Q13227	GPS2_HUMAN	GPS2	Homo sapiens (Human)
O95751	O95751	LDOC1_HUMAN	LDOC1 BCUR1	Homo sapiens (Human)
P54284	P54284	CACB3_HUMAN	CACNB3 CACNLB3	Homo sapiens (Human)
O94992	O94992	HEXI1_HUMAN	HEXIM1 CLP1 EDG1 HIS1 MAQ1	Homo sapiens (Human)
P50454	P50454	SERPH_HUMAN	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14	Homo sapiens (Human)
Q9UHB7	Q9UHB7	AFF4_HUMAN	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)
O95789	O95789	ZMYM6_HUMAN	ZMYM6 Buster2 KIAA1353 ZNF258	Homo sapiens (Human)
Q02045	Q02045	MYL5_HUMAN	MYL5	Homo sapiens (Human)
P56192	P56192	SYMC_HUMAN	MARS	Homo sapiens (Human)
Q14257	Q14257	RCN2_HUMAN	RCN2 ERC55	Homo sapiens (Human)
P12236	P12236	ADT3_HUMAN	SLC25A6 ANT3 CDABP0051	Homo sapiens (Human)
P55084	P55084	ECHB_HUMAN	HADHB MSTP029	Homo sapiens (Human)
P05141	P05141	ADT2_HUMAN	SLC25A5 ANT2	Homo sapiens (Human)
Q9BVA1	Q9BVA1	TBB2B_HUMAN	TUBB2B	Homo sapiens (Human)
P40939	P40939	ECHA_HUMAN	HADHA HADH	Homo sapiens (Human)
Q15758	Q15758	AAAT_HUMAN	SLC1A5 ASCT2 M7V1 RDR RDRC	Homo sapiens (Human)
P18077	P18077	RL35A_HUMAN	RPL35A GIG33	Homo sapiens (Human)
P46087	P46087	NOP2_HUMAN	NOP2 NOL1 NSUN1	Homo sapiens (Human)
P51571	P51571	SSRD_HUMAN	SSR4 TRAPD	Homo sapiens (Human)
P00367	P00367	DHE3_HUMAN	GLUD1 GLUD	Homo sapiens (Human)
Q6UUV9	Q6UUV9	CRTC1_HUMAN	CRTC1 KIAA0616 MECT1 TORC1 WAMTP1	Homo sapiens (Human)
Q3ZCM7	Q3ZCM7	TBB8_HUMAN	TUBB8	Homo sapiens (Human)
Q96S96	Q96S96	PEBP4_HUMAN	PEBP4 CORK1 UNQ1933/PRO4408	Homo sapiens (Human)
Q99829	Q99829	CPNE1_HUMAN	CPNE1 CPN1	Homo sapiens (Human)
Q96A23	Q96A23	CPNE4_HUMAN	CPNE4	Homo sapiens (Human)
P50502	P50502	F10A1_HUMAN	ST13 AAG2 FAM10A1 HIP SNC6	Homo sapiens (Human)
P25103	P25103	NK1R_HUMAN	TACR1 NK1R TAC1R	Homo sapiens (Human)
Q9P1A6	Q9P1A6	DLGP2_HUMAN	DLGAP2 C8orf68 DAP2 ERICH1-AS1	Homo sapiens (Human)
P47901	P47901	V1BR_HUMAN	AVPR1B AVPR3 VPR3	Homo sapiens (Human)
P37288	P37288	V1AR_HUMAN	AVPR1A AVPR1	Homo sapiens (Human)
Q59F04	Q59F04	Q59F04_HUMAN		Homo sapiens (Human)
P37802	P37802	TAGL2_HUMAN	TAGLN2 KIAA0120 CDABP0035	Homo sapiens (Human)
Q9NRI5	Q9NRI5	DISC1_HUMAN	DISC1 KIAA0457	Homo sapiens (Human)
O14793	O14793	GDF8_HUMAN	MSTN GDF8	Homo sapiens (Human)
E9PAV3	E9PAV3	NACAM_HUMAN	NACA	Homo sapiens (Human)
P28676	P28676	GRAN_HUMAN	GCA GCL	Homo sapiens (Human)
P48065	P48065	S6A12_HUMAN	SLC6A12	Homo sapiens (Human)
P15121	P15121	ALDR_HUMAN	AKR1B1 ALDR1	Homo sapiens (Human)
Q8N5D6	Q8N5D6	GBGT1_HUMAN	GBGT1 UNQ2513/PRO6002	Homo sapiens (Human)
P53794	P53794	SC5A3_HUMAN	SLC5A3	Homo sapiens (Human)
Q7Z3C6	Q7Z3C6	ATG9A_HUMAN	ATG9A APG9L1	Homo sapiens (Human)
O00763	O00763	ACACB_HUMAN	ACACB ACC2 ACCB	Homo sapiens (Human)
Q13621	Q13621	S12A1_HUMAN	SLC12A1 NKCC2	Homo sapiens (Human)
Q92538	Q92538	GBF1_HUMAN	GBF1 KIAA0248	Homo sapiens (Human)
O60825	O60825	F262_HUMAN	PFKFB2	Homo sapiens (Human)
Q9H0B6	Q9H0B6	KLC2_HUMAN	KLC2	Homo sapiens (Human)
A8K0H7	A8K0H7	A8K0H7_HUMAN		Homo sapiens (Human)
O00139	O00139	KIF2A_HUMAN	KIF2A KIF2 KNS2	Homo sapiens (Human)
Q9H1K0	Q9H1K0	RBNS5_HUMAN	RBSN ZFYVE20	Homo sapiens (Human)
Q14940	Q14940	SL9A5_HUMAN	SLC9A5 NHE5	Homo sapiens (Human)
Q8TCX5	Q8TCX5	RHPN1_HUMAN	RHPN1 KIAA1929	Homo sapiens (Human)
Q08495	Q08495	DEMA_HUMAN	DMTN DMT EPB49	Homo sapiens (Human)
P11216	P11216	PYGB_HUMAN	PYGB	Homo sapiens (Human)
Q7Z2W7	Q7Z2W7	TRPM8_HUMAN	TRPM8 LTRPC6 TRPP8	Homo sapiens (Human)
O14842	O14842	FFAR1_HUMAN	FFAR1 GPR40	Homo sapiens (Human)
Q9NPQ8	Q9NPQ8	RIC8A_HUMAN	RIC8A	Homo sapiens (Human)
O15552	O15552	FFAR2_HUMAN	FFAR2 FFA2 GPCR43 GPR43	Homo sapiens (Human)
O15084	O15084	ANR28_HUMAN	ANKRD28 KIAA0379	Homo sapiens (Human)
Q6XZF7	Q6XZF7	DNMBP_HUMAN	DNMBP KIAA1010	Homo sapiens (Human)
P61457	P61457	PHS_HUMAN	PCBD1 DCOH PCBD	Homo sapiens (Human)
Q9NZ72	Q9NZ72	STMN3_HUMAN	STMN3 SCLIP	Homo sapiens (Human)
Q16643	Q16643	DREB_HUMAN	DBN1 D0S117E	Homo sapiens (Human)
Q99719	Q99719	SEPT5_HUMAN	SEPT5 PNUTL1	Homo sapiens (Human)
P47989	P47989	XDH_HUMAN	XDH XDHA	Homo sapiens (Human)
Q96KR7	Q96KR7	PHAR3_HUMAN	PHACTR3 C20orf101 SCAPIN1	Homo sapiens (Human)
Q8TDN4	Q8TDN4	CABL1_HUMAN	CABLES1 CABLES	Homo sapiens (Human)
P07814	P07814	SYEP_HUMAN	EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)
P12036	P12036	NFH_HUMAN	NEFH KIAA0845 NFH	Homo sapiens (Human)
P48681	P48681	NEST_HUMAN	NES Nbla00170	Homo sapiens (Human)
Q9BTV5	Q9BTV5	FSD1_HUMAN	FSD1 GLFND MIR1 VLP27	Homo sapiens (Human)
Q96SZ6	Q96SZ6	CK5P1_HUMAN	CDK5RAP1 C20orf34 CGI-05 HSPC167	Homo sapiens (Human)
Q13536	Q13536	CROC4_HUMAN	C1orf61 CROC4	Homo sapiens (Human)
O14827	O14827	RGRF2_HUMAN	RASGRF2 GRF2	Homo sapiens (Human)
Q9H6U9	Q9H6U9	Q9H6U9_HUMAN		Homo sapiens (Human)
Q8N137	Q8N137	CNTRB_HUMAN	CNTROB LIP8 PP1221	Homo sapiens (Human)
Q8WTT0	Q8WTT0	CLC4C_HUMAN	CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150	Homo sapiens (Human)
O14559	O14559	RHG33_HUMAN	ARHGAP33 SNX26 TCGAP	Homo sapiens (Human)
P21673	P21673	SAT1_HUMAN	SAT1 SAT	Homo sapiens (Human)
Q9Y237	Q9Y237	PIN4_HUMAN	PIN4	Homo sapiens (Human)
P55087	P55087	AQP4_HUMAN	AQP4	Homo sapiens (Human)
Q13428	Q13428	TCOF_HUMAN	TCOF1	Homo sapiens (Human)
P84090	P84090	ERH_HUMAN	ERH	Homo sapiens (Human)
Q99733	Q99733	NP1L4_HUMAN	NAP1L4 NAP2	Homo sapiens (Human)
O43896	O43896	KIF1C_HUMAN	KIF1C KIAA0706	Homo sapiens (Human)
Q00688	Q00688	FKBP3_HUMAN	FKBP3 FKBP25	Homo sapiens (Human)
P07498	P07498	CASK_HUMAN	CSN3 CASK CSN10 CSNK	Homo sapiens (Human)
A0A024R693	A0A024R693	A0A024R693_HUMAN	hCG_22119	Homo sapiens (Human)
Q59HH7	Q59HH7	Q59HH7_HUMAN		Homo sapiens (Human)
B3KT21	B3KT21	B3KT21_HUMAN		Homo sapiens (Human)
Q9UME6	Q9UME6	Q9UME6_HUMAN	IL16	Homo sapiens (Human)
P23921	P23921	RIR1_HUMAN	RRM1 RR1	Homo sapiens (Human)
O95833	O95833	CLIC3_HUMAN	CLIC3	Homo sapiens (Human)
Q13371	Q13371	PHLP_HUMAN	PDCL PHLOP1 PhLP1	Homo sapiens (Human)
Q9UMR2	Q9UMR2	DD19B_HUMAN	DDX19B DBP5 DDX19 TDBP	Homo sapiens (Human)
Q9BV86	Q9BV86	NTM1A_HUMAN	NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003	Homo sapiens (Human)
P56211	P56211	ARP19_HUMAN	ARPP19	Homo sapiens (Human)
P07741	P07741	APT_HUMAN	APRT	Homo sapiens (Human)
Q7Z6K4	Q7Z6K4	NRARP_HUMAN	NRARP	Homo sapiens (Human)
P05162	P05162	LEG2_HUMAN	LGALS2	Homo sapiens (Human)
Q96FN4	Q96FN4	CPNE2_HUMAN	CPNE2	Homo sapiens (Human)
Q86V59	Q86V59	PNM8A_HUMAN	PNMA8A PNMAL1	Homo sapiens (Human)
P37235	P37235	HPCL1_HUMAN	HPCAL1 BDR1	Homo sapiens (Human)
Q8N8B7	Q8N8B7	TEANC_HUMAN	TCEANC	Homo sapiens (Human)
O15182	O15182	CETN3_HUMAN	CETN3 CEN3	Homo sapiens (Human)
Q96NL6	Q96NL6	SCLT1_HUMAN	SCLT1 SAP1	Homo sapiens (Human)
Q96NT1	Q96NT1	NP1L5_HUMAN	NAP1L5 DRLM	Homo sapiens (Human)
Q9NSK7	Q9NSK7	CS012_HUMAN	C19orf12	Homo sapiens (Human)
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1 KIAA1598	Homo sapiens (Human)
Q9NUJ3	Q9NUJ3	T11L1_HUMAN	TCP11L1	Homo sapiens (Human)
Q9NWM3	Q9NWM3	CUED1_HUMAN	CUEDC1	Homo sapiens (Human)
Q66PJ3	Q66PJ3	AR6P4_HUMAN	ARL6IP4	Homo sapiens (Human)
Q96F24	Q96F24	NRBF2_HUMAN	NRBF2 COPR	Homo sapiens (Human)
Q9BZ67	Q9BZ67	FRMD8_HUMAN	FRMD8 FKSG44	Homo sapiens (Human)
A1E959	A1E959	ODAM_HUMAN	ODAM APIN	Homo sapiens (Human)
Q8WWU5	Q8WWU5	TCP11_HUMAN	TCP11	Homo sapiens (Human)
Q8WZA0	Q8WZA0	LZIC_HUMAN	LZIC	Homo sapiens (Human)
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Homo sapiens (Human)
Q6P582	Q6P582	MZT2A_HUMAN	MZT2A FAM128A MOZART2A	Homo sapiens (Human)
Q9BWX1	Q9BWX1	PHF7_HUMAN	PHF7	Homo sapiens (Human)
Q9NPF8	Q9NPF8	ADAP2_HUMAN	ADAP2 CENTA2	Homo sapiens (Human)
Q96EY4	Q96EY4	TMA16_HUMAN	TMA16 C4orf43	Homo sapiens (Human)
Q5T686	Q5T686	AVPI1_HUMAN	AVPI1 NPD013 PP5395	Homo sapiens (Human)
Q9NZU5	Q9NZU5	LMCD1_HUMAN	LMCD1	Homo sapiens (Human)
P42696	P42696	RBM34_HUMAN	RBM34 KIAA0117	Homo sapiens (Human)
Q9Y383	Q9Y383	LC7L2_HUMAN	LUC7L2 CGI-59 CGI-74	Homo sapiens (Human)
Q6DCA0	Q6DCA0	AMERL_HUMAN	AMMECR1L	Homo sapiens (Human)
Q9BSA4	Q9BSA4	TTYH2_HUMAN	TTYH2 C17orf29	Homo sapiens (Human)
P35558	P35558	PCKGC_HUMAN	PCK1 PEPCK1	Homo sapiens (Human)
Q0VDD7	Q0VDD7	CS057_HUMAN	C19orf57	Homo sapiens (Human)
Q09470	Q09470	KCNA1_HUMAN	KCNA1	Homo sapiens (Human)
Q9BR39	Q9BR39	JPH2_HUMAN	JPH2 JP2	Homo sapiens (Human)
P08684	P08684	CP3A4_HUMAN	CYP3A4 CYP3A3	Homo sapiens (Human)
P20813	P20813	CP2B6_HUMAN	CYP2B6	Homo sapiens (Human)
Q5T7P8	Q5T7P8	SYT6_HUMAN	SYT6	Homo sapiens (Human)
O75952	O75952	CABYR_HUMAN	CABYR CBP86 FSP2	Homo sapiens (Human)
P30041	P30041	PRDX6_HUMAN	PRDX6 AOP2 KIAA0106	Homo sapiens (Human)
Q96PH1	Q96PH1	NOX5_HUMAN	NOX5	Homo sapiens (Human)
Q96I25	Q96I25	SPF45_HUMAN	RBM17 SPF45	Homo sapiens (Human)
Q53EZ4	Q53EZ4	CEP55_HUMAN	CEP55 C10orf3 URCC6	Homo sapiens (Human)
Q13614	Q13614	MTMR2_HUMAN	MTMR2 KIAA1073	Homo sapiens (Human)
P50548	P50548	ERF_HUMAN	ERF	Homo sapiens (Human)
P26651	P26651	TTP_HUMAN	ZFP36 G0S24 NUP475 RNF162A TIS11A TTP	Homo sapiens (Human)
P16989	P16989	YBOX3_HUMAN	YBX3 CSDA DBPA	Homo sapiens (Human)
Q9Y263	Q9Y263	PLAP_HUMAN	PLAA PLAP	Homo sapiens (Human)
O14901	O14901	KLF11_HUMAN	KLF11 FKLF TIEG2	Homo sapiens (Human)
P07197	P07197	NFM_HUMAN	NEFM NEF3 NFM	Homo sapiens (Human)
Q9P1Z2	Q9P1Z2	CACO1_HUMAN	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	Homo sapiens (Human)
Q08493	Q08493	PDE4C_HUMAN	PDE4C DPDE1	Homo sapiens (Human)
B2RAH2	B2RAH2	B2RAH2_HUMAN		Homo sapiens (Human)
B4DHI4	B4DHI4	B4DHI4_HUMAN		Homo sapiens (Human)
P32929	P32929	CGL_HUMAN	CTH	Homo sapiens (Human)
O76074	O76074	PDE5A_HUMAN	PDE5A PDE5	Homo sapiens (Human)
Q03393	Q03393	PTPS_HUMAN	PTS	Homo sapiens (Human)
Q14872	Q14872	MTF1_HUMAN	MTF1	Homo sapiens (Human)
Q6VY07	Q6VY07	PACS1_HUMAN	PACS1 KIAA1175	Homo sapiens (Human)
Q9BZV1	Q9BZV1	UBXN6_HUMAN	UBXN6 UBXD1 UBXDC2	Homo sapiens (Human)
Q5VVQ6	Q5VVQ6	OTU1_HUMAN	YOD1 DUBA8 HIN7 OTUD2 PRO0907	Homo sapiens (Human)
Q9Y5A7	Q9Y5A7	NUB1_HUMAN	NUB1 NYREN18	Homo sapiens (Human)
Q96IV0	Q96IV0	NGLY1_HUMAN	NGLY1 PNG1	Homo sapiens (Human)
Q9Y468	Q9Y468	LMBL1_HUMAN	L3MBTL1 KIAA0681 L3MBT L3MBTL	Homo sapiens (Human)
Q8NHG7	Q8NHG7	SVIP_HUMAN	SVIP	Homo sapiens (Human)
Q9BQE4	Q9BQE4	SELS_HUMAN	SELENOS SELS VIMP AD-015 SBBI8	Homo sapiens (Human)
Q969S3	Q969S3	ZN622_HUMAN	ZNF622 ZPR9	Homo sapiens (Human)
Q15607	Q15607	Q15607_HUMAN		Homo sapiens (Human)
Q9BQ89	Q9BQ89	F110A_HUMAN	FAM110A C20orf55 F10	Homo sapiens (Human)
Q13884	Q13884	SNTB1_HUMAN	SNTB1 SNT2B1	Homo sapiens (Human)
Q02833	Q02833	RASF7_HUMAN	RASSF7 C11orf13 HRC1	Homo sapiens (Human)
P02810	P02810	PRPC_HUMAN	PRH1; PRH2	Homo sapiens (Human)
P43268	P43268	ETV4_HUMAN	ETV4 E1AF PEA3	Homo sapiens (Human)
Q9Y3A3	Q9Y3A3	PHOCN_HUMAN	MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95	Homo sapiens (Human)
Q01101	Q01101	INSM1_HUMAN	INSM1 IA1	Homo sapiens (Human)
P51861	P51861	CDR1_HUMAN	CDR1	Homo sapiens (Human)
Q13061	Q13061	TRDN_HUMAN	TRDN	Homo sapiens (Human)
O95848	O95848	NUD14_HUMAN	NUDT14 UGPP	Homo sapiens (Human)
P31327	P31327	CPSM_HUMAN	CPS1	Homo sapiens (Human)
P00966	P00966	ASSY_HUMAN	ASS1 ASS	Homo sapiens (Human)
O94985	O94985	CSTN1_HUMAN	CLSTN1 CS1 KIAA0911	Homo sapiens (Human)
Q15722	Q15722	LT4R1_HUMAN	LTB4R BLT BLT1 BLTR CMKRL1 GPR16 P2RY7	Homo sapiens (Human)
Q684P5	Q684P5	RPGP2_HUMAN	RAP1GAP2 GARNL4 KIAA1039 RAP1GA2	Homo sapiens (Human)
Q96P48	Q96P48	ARAP1_HUMAN	ARAP1 CENTD2 KIAA0782	Homo sapiens (Human)
Q13946	Q13946	PDE7A_HUMAN	PDE7A	Homo sapiens (Human)
Q8IWB6	Q8IWB6	TEX14_HUMAN	TEX14 SGK307	Homo sapiens (Human)
Q9BRQ5	Q9BRQ5	ORAI3_HUMAN	ORAI3 TMEM142C	Homo sapiens (Human)
Q9Y295	Q9Y295	DRG1_HUMAN	DRG1 NEDD3	Homo sapiens (Human)
Q9UJ70	Q9UJ70	NAGK_HUMAN	NAGK	Homo sapiens (Human)
Q8N5Z5	Q8N5Z5	KCD17_HUMAN	KCTD17	Homo sapiens (Human)
P49247	P49247	RPIA_HUMAN	RPIA RPI	Homo sapiens (Human)
Q6UY14	Q6UY14	ATL4_HUMAN	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012	Homo sapiens (Human)
Q02952	Q02952	AKA12_HUMAN	AKAP12 AKAP250	Homo sapiens (Human)
Q96B67	Q96B67	ARRD3_HUMAN	ARRDC3 KIAA1376	Homo sapiens (Human)
Q96GW7	Q96GW7	PGCB_HUMAN	BCAN BEHAB CSPG7 UNQ2525/PRO6018	Homo sapiens (Human)
Q16600	Q16600	ZN239_HUMAN	ZNF239 HOK2 MOK2	Homo sapiens (Human)
Q9Y2K6	Q9Y2K6	UBP20_HUMAN	USP20 KIAA1003 LSFR3A VDU2	Homo sapiens (Human)
Q92561	Q92561	PHYIP_HUMAN	PHYHIP DYRK1AP3 KIAA0273	Homo sapiens (Human)
Q96S94,A0A024R072	Q96S94	CCNL2_HUMAN	CCNL2 SB138	Homo sapiens (Human)
Q9UKX2	Q9UKX2	MYH2_HUMAN	MYH2 MYHSA2	Homo sapiens (Human)
Q9P296	Q9P296	C5AR2_HUMAN	C5AR2 C5L2 GPR77	Homo sapiens (Human)
Q06730	Q06730	ZN33A_HUMAN	ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33	Homo sapiens (Human)
Q8N184	Q8N184	ZN567_HUMAN	ZNF567	Homo sapiens (Human)
Q9NZA1	Q9NZA1	CLIC5_HUMAN	CLIC5	Homo sapiens (Human)
Q05925	Q05925	HME1_HUMAN	EN1	Homo sapiens (Human)
P51151	P51151	RAB9A_HUMAN	RAB9A RAB9	Homo sapiens (Human)
Q9NP80	Q9NP80	PLPL8_HUMAN	PNPLA8 IPLA22 IPLA2G BM-043	Homo sapiens (Human)
Q14134	Q14134	TRI29_HUMAN	TRIM29 ATDC	Homo sapiens (Human)
P35900	P35900	K1C20_HUMAN	KRT20	Homo sapiens (Human)
V9HW43	V9HW43	V9HW43_HUMAN	HEL-S-102	Homo sapiens (Human)
O95409	O95409	ZIC2_HUMAN	ZIC2	Homo sapiens (Human)
Q9ULV4	Q9ULV4	COR1C_HUMAN	CORO1C CRN2 CRNN4	Homo sapiens (Human)
Q02809	Q02809	PLOD1_HUMAN	PLOD1 LLH PLOD	Homo sapiens (Human)
O43819	O43819	SCO2_HUMAN	SCO2	Homo sapiens (Human)
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Homo sapiens (Human)
P47929	P47929	LEG7_HUMAN	LGALS7 PIG1; LGALS7B	Homo sapiens (Human)
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14 KIAA1334 NORPEG	Homo sapiens (Human)
P36776	P36776	LONM_HUMAN	LONP1 PRSS15	Homo sapiens (Human)
Q9BZF9	Q9BZF9	UACA_HUMAN	UACA KIAA1561	Homo sapiens (Human)
Q9ULX6	Q9ULX6	AKP8L_HUMAN	AKAP8L NAKAP NAKAP95 HRIHFB2018	Homo sapiens (Human)
P41252	P41252	SYIC_HUMAN	IARS	Homo sapiens (Human)
Q9NWS0	Q9NWS0	PIHD1_HUMAN	PIH1D1 NOP17	Homo sapiens (Human)
Q9BV68	Q9BV68	RN126_HUMAN	RNF126	Homo sapiens (Human)
Q14160	Q14160	SCRIB_HUMAN	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	Homo sapiens (Human)
O94763	O94763	RMP_HUMAN	URI1 C19orf2 NNX3 PPP1R19 RMP URI	Homo sapiens (Human)
Q92600	Q92600	CNOT9_HUMAN	CNOT9 RCD1 RQCD1	Homo sapiens (Human)
Q9Y6U3	Q9Y6U3	ADSV_HUMAN	SCIN KIAA1905	Homo sapiens (Human)
Q9NUG6	Q9NUG6	PDRG1_HUMAN	PDRG1 C20orf126 PDRG	Homo sapiens (Human)
Q9H3G5	Q9H3G5	CPVL_HUMAN	CPVL VLP PSEC0124 UNQ197/PRO223	Homo sapiens (Human)
O43795	O43795	MYO1B_HUMAN	MYO1B	Homo sapiens (Human)
Q8IZP2	Q8IZP2	ST134_HUMAN	ST13P4 FAM10A4	Homo sapiens (Human)
P36871	P36871	PGM1_HUMAN	PGM1	Homo sapiens (Human)
Q96C19	Q96C19	EFHD2_HUMAN	EFHD2 SWS1	Homo sapiens (Human)
P42166	P42166	LAP2A_HUMAN	TMPO LAP2	Homo sapiens (Human)
Q9BWF3	Q9BWF3	RBM4_HUMAN	RBM4 RBM4A	Homo sapiens (Human)
Q8WV24	Q8WV24	PHLA1_HUMAN	PHLDA1 PHRIP TDAG51	Homo sapiens (Human)
Q49MG5	Q49MG5	MAP9_HUMAN	MAP9 ASAP	Homo sapiens (Human)
O75410	O75410	TACC1_HUMAN	TACC1 KIAA1103	Homo sapiens (Human)
Q15398	Q15398	DLGP5_HUMAN	DLGAP5 DLG7 KIAA0008	Homo sapiens (Human)
Q9BZB8	Q9BZB8	CPEB1_HUMAN	CPEB1 CPEB	Homo sapiens (Human)
Q6MZW8	Q6MZW8	Q6MZW8_HUMAN	DKFZp686G14213	Homo sapiens (Human)
Q9UNE0	Q9UNE0	EDAR_HUMAN	EDAR DL	Homo sapiens (Human)
Q13895	Q13895	BYST_HUMAN	BYSL	Homo sapiens (Human)
O76021	O76021	RL1D1_HUMAN	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Homo sapiens (Human)
Q5JTH9	Q5JTH9	RRP12_HUMAN	RRP12 KIAA0690	Homo sapiens (Human)
Q9BQ67	Q9BQ67	GRWD1_HUMAN	GRWD1 GRWD KIAA1942 WDR28	Homo sapiens (Human)
P62861	P62861	RS30_HUMAN	FAU	Homo sapiens (Human)
Q8N7J2	Q8N7J2	AMER2_HUMAN	AMER2 FAM123A	Homo sapiens (Human)
Q8TD16	Q8TD16	BICD2_HUMAN	BICD2 KIAA0699	Homo sapiens (Human)
B2R8K8	B2R8K8	B2R8K8_HUMAN		Homo sapiens (Human)
Q15562	Q15562	TEAD2_HUMAN	TEAD2 TEF4	Homo sapiens (Human)
Q99594	Q99594	TEAD3_HUMAN	TEAD3 TEAD5 TEF5	Homo sapiens (Human)
Q96G27	Q96G27	WBP1_HUMAN	WBP1	Homo sapiens (Human)
Q8TCU5	Q8TCU5	NMD3A_HUMAN	GRIN3A KIAA1973	Homo sapiens (Human)
Q7Z7C8	Q7Z7C8	TAF8_HUMAN	TAF8 TAFII43 TBN	Homo sapiens (Human)
Q92804	Q92804	RBP56_HUMAN	TAF15 RBP56 TAF2N	Homo sapiens (Human)
Q6P1X5	Q6P1X5	TAF2_HUMAN	TAF2 CIF150 TAF2B	Homo sapiens (Human)
O60869	O60869	EDF1_HUMAN	EDF1	Homo sapiens (Human)
